"","MS_SubClass","MS_Zoning","Lot_Frontage","Lot_Area","Street","Alley","Lot_Shape","Land_Contour","Utilities","Lot_Config","Land_Slope","Neighborhood","Condition_1","Condition_2","Bldg_Type","House_Style","Overall_Cond","Year_Built","Year_Remod_Add","Roof_Style","Roof_Matl","Exterior_1st","Exterior_2nd","Mas_Vnr_Type","Mas_Vnr_Area","Exter_Cond","Foundation","Bsmt_Cond","Bsmt_Exposure","BsmtFin_Type_1","BsmtFin_SF_1","BsmtFin_Type_2","BsmtFin_SF_2","Bsmt_Unf_SF","Total_Bsmt_SF","Heating","Heating_QC","Central_Air","Electrical","First_Flr_SF","Second_Flr_SF","Gr_Liv_Area","Bsmt_Full_Bath","Bsmt_Half_Bath","Full_Bath","Half_Bath","Bedroom_AbvGr","Kitchen_AbvGr","TotRms_AbvGrd","Functional","Fireplaces","Garage_Type","Garage_Finish","Garage_Cars","Garage_Area","Garage_Cond","Paved_Drive","Wood_Deck_SF","Open_Porch_SF","Enclosed_Porch","Three_season_porch","Screen_Porch","Pool_Area","Pool_QC","Fence","Misc_Feature","Misc_Val","Mo_Sold","Year_Sold","Sale_Type","Sale_Condition","Sale_Price","Longitude","Latitude","Log_Sale_Price","dist_HS","dist_MS","dist_PreSch","dist_ES_Sawyer","dist_ES_Mitchell","dist_ES_Meeker","dist_ES_Fellows","dist_ES_Edwards"
"11","Two_Story_1946_and_Newer","Residential_Low_Density",75,10000,"Pave","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Corner","Gtl","Gilbert","Norm","Norm","OneFam","Two_Story","Average",1993,1994,"Gable","CompShg","HdBoard","HdBoard","None",0,"Typical","PConc","Typical","No","Unf",7,"Unf",0,763,763,"GasA","Good","Y","SBrkr",763,892,1655,0,0,2,1,3,1,7,"Typ",1,"Attchd","Fin",2,440,"Typical","Paved",157,84,0,0,0,0,"No_Pool","No_Fence","None",0,4,2010,"WD ","Normal",175900,-93.636947,42.05848,5.24526583945746,2050.1743854019,5764.38698518788,1771.14213938495,4299.33458192314,8148.70952640144,2696.92251839947,1893.91510732258,6243.58513735002
"12","One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",0,7980,"Pave","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","OneFam","One_Story","Good",1992,2007,"Gable","CompShg","HdBoard","HdBoard","None",0,"Good","PConc","Typical","No","ALQ",1,"Unf",0,233,1168,"GasA","Excellent","Y","SBrkr",1187,0,1187,1,0,2,0,3,1,6,"Typ",0,"Attchd","Fin",2,420,"Typical","Paved",483,21,0,0,0,0,"No_Pool","Good_Privacy","Shed",500,3,2010,"WD ","Normal",185000,-93.635951,42.057419,5.26717172840301,1929.11056934426,5703.74387936773,1640.6824279794,4290.11166522664,8008.79164349768,2554.9471774444,1753.35636850873,6207.40600291874
"13","Two_Story_1946_and_Newer","Residential_Low_Density",63,8402,"Pave","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","OneFam","Two_Story","Average",1998,1998,"Gable","CompShg","VinylSd","VinylSd","None",0,"Typical","PConc","Typical","No","Unf",7,"Unf",0,789,789,"GasA","Good","Y","SBrkr",789,676,1465,0,0,2,1,3,1,7,"Typ",1,"Attchd","Fin",2,393,"Typical","Paved",0,75,0,0,0,0,"No_Pool","No_Fence","None",0,5,2010,"WD ","Normal",180400,-93.638647,42.058151,5.25623653320592,2026.50163808833,5664.169986215,1875.40225571411,4168.07725039075,8167.08690302054,2771.41915587462,1920.14584981931,6125.89815800968
"14","One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",85,10176,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","OneFam","One_Story","Average",1990,1990,"Gable","CompShg","HdBoard","HdBoard","None",0,"Typical","PConc","Typical","Gd","GLQ",3,"Unf",0,663,1300,"GasA","Good","Y","SBrkr",1341,0,1341,1,0,1,1,2,1,5,"Typ",1,"Attchd","Unf",2,506,"Typical","Paved",192,0,0,0,0,0,"No_Pool","No_Fence","None",0,2,2010,"WD ","Normal",171500,-93.634626,42.057268,5.23426412437879,1913.56512322484,5746.41758987271,1537.27565285028,4367.37244347223,7954.21075115907,2466.87325276653,1699.61813757495,6267.61155031443
"15","One_Story_PUD_1946_and_Newer","Residential_Low_Density",0,6820,"Pave","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Corner","Gtl","Stone_Brook","Norm","Norm","TwnhsE","One_Story","Average",1985,1985,"Gable","CompShg","HdBoard","HdBoard","None",0,"Typical","PConc","Typical","Av","GLQ",3,"BLQ",1120,0,1488,"GasA","Typical","Y","SBrkr",1502,0,1502,1,0,1,1,1,1,4,"Typ",0,"Attchd","RFn",2,528,"Typical","Paved",0,54,0,0,140,0,"No_Pool","No_Fence","None",0,6,2010,"WD ","Normal",212000,-93.632913,42.059169,5.32633586092875,2134.84202572869,6000.8969034041,1543.76383003682,4607.91161173201,8105.6966772925,2536.60374451525,1865.745396299,6519.67046601866
"16","Two_Story_1946_and_Newer","Residential_Low_Density",47,53504,"Pave","No_Alley_Access","Moderately_Irregular","HLS","AllPub","CulDSac","Mod","Stone_Brook","Norm","Norm","OneFam","Two_Story","Average",2003,2003,"Hip","CompShg","CemntBd","Wd Shng","BrkFace",603,"Typical","PConc","Typical","Gd","ALQ",1,"Unf",0,234,1650,"GasA","Excellent","Y","SBrkr",1690,1589,3279,1,0,3,1,4,1,12,"Mod",1,"BuiltIn","Fin",3,841,"Typical","Paved",503,36,0,0,210,0,"No_Pool","No_Fence","None",0,6,2010,"WD ","Normal",538000,-93.62655,42.061239,5.73078227566639,2468.95339652911,6482.95329639488,1387.73998455869,5167.01609553682,8172.65601448704,2462.86659371212,2056.0081654109,7045.81150132018
"17","One_and_Half_Story_Finished_All_Ages","Residential_Low_Density",152,12134,"Pave","No_Alley_Access","Slightly_Irregular","Bnk","AllPub","Inside","Mod","Gilbert","Norm","Norm","OneFam","One_and_Half_Fin","Good",1988,2005,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"Typical","Wood","Typical","Av","GLQ",3,"Unf",0,132,559,"GasA","Good","Y","SBrkr",1080,672,1752,0,0,2,0,4,1,8,"Typ",0,"Basment","RFn",2,492,"Typical","Paved",325,12,0,0,0,0,"No_Pool","No_Fence","None",0,6,2010,"WD ","Normal",164000,-93.6235954,42.0603514,5.2148438480477,2462.42654997984,6546.41361768295,1196.9975554124,5310.95499367467,8016.93017871694,2279.08545792565,1987.81756009483,7147.255354704
"18","One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",88,11394,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Corner","Gtl","Stone_Brook","Norm","Norm","OneFam","One_Story","Poor",2010,2010,"Hip","CompShg","VinylSd","VinylSd","Stone",350,"Typical","PConc","Typical","Av","GLQ",3,"Unf",0,411,1856,"GasA","Excellent","Y","SBrkr",1856,0,1856,1,0,1,1,1,1,8,"Typ",1,"Attchd","Fin",3,834,"Typical","Paved",113,0,0,0,0,0,"No_Pool","No_Fence","None",0,6,2010,"New","Partial",394432,-93.628804,42.05885,5.59597214171456,2161.41467292002,6158.25638128611,1275.10148522791,4861.00848501071,7967.69645228048,2314.83455289315,1787.44238067281,6725.01248007462
"19","One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",140,19138,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Corner","Gtl","Gilbert","Norm","Norm","OneFam","One_Story","Average",1951,1951,"Gable","CompShg","VinylSd","VinylSd","None",0,"Typical","CBlock","Typical","No","LwQ",4,"Unf",0,744,864,"GasA","Excellent","Y","SBrkr",864,0,864,0,0,1,0,2,1,4,"Typ",0,"Detchd","Unf",2,400,"Typical","Paved",0,0,0,0,0,0,"No_Pool","No_Fence","None",0,6,2010,"WD ","Normal",141000,-93.622971,42.056673,5.14921911265538,2118.73335899473,6257.55061230287,800.233206449174,5140.3165271603,7606.8154359895,1878.65627716487,1599.97739563326,6905.80625151005
"20","One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",85,13175,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Northwest_Ames","Norm","Norm","OneFam","One_Story","Above_Average",1978,1988,"Gable","CompShg","Plywood","Plywood","Stone",119,"Typical","CBlock","Typical","No","ALQ",1,"Rec",163,589,1542,"GasA","Typical","Y","SBrkr",2073,0,2073,1,0,2,0,3,1,7,"Min1",2,"Attchd","Unf",2,500,"Typical","Paved",349,0,0,0,0,0,"No_Pool","Minimum_Privacy","None",0,2,2010,"WD ","Normal",210000,-93.636655,42.054453,5.32221929473392,1601.24320524686,5391.80423329885,1563.5958830427,4048.91589427656,7723.74753864662,2376.89744194971,1479.29712234885,5923.2360233211
"21","One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",105,11751,"Pave","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Inside","Gtl","Northwest_Ames","Norm","Norm","OneFam","One_Story","Above_Average",1977,1977,"Hip","CompShg","Plywood","Plywood","BrkFace",480,"Typical","CBlock","Typical","No","BLQ",2,"Unf",0,1139,1844,"GasA","Excellent","Y","SBrkr",1844,0,1844,0,0,2,0,3,1,7,"Typ",1,"Attchd","RFn",2,546,"Typical","Paved",0,122,0,0,0,0,"No_Pool","Minimum_Privacy","None",0,1,2010,"COD","Normal",190000,-93.633962,42.050346,5.27875360095283,1149.04136287014,5141.22714966748,1269.71192593356,4006.10309914425,7216.28763649994,1929.58537795497,971.719555795072,5759.36081029457
"22","Split_Foyer","Residential_Low_Density",85,10625,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Northwest_Ames","Norm","Norm","OneFam","SFoyer","Above_Average",1974,1974,"Gable","CompShg","Plywood","Plywood","BrkFace",81,"Typical","CBlock","Typical","Gd","GLQ",3,"LwQ",168,0,1053,"GasA","Typical","Y","SBrkr",1173,0,1173,1,0,2,0,3,1,6,"Typ",2,"Attchd","RFn",2,528,"Typical","Paved",0,120,0,0,0,0,"No_Pool","Minimum_Privacy","None",0,1,2010,"WD ","Family",170000,-93.636372,42.05027,5.23044892137827,1135.02103301598,5017.07494549514,1468.88881569747,3825.92519567972,7286.04039462186,2096.6476297763,1079.19237897544,5607.96931927321
"23","Two_Story_1946_and_Newer","Floating_Village_Residential",0,7500,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Somerset","Norm","Norm","OneFam","Two_Story","Average",2000,2000,"Gable","CompShg","VinylSd","VinylSd","None",0,"Typical","PConc","Typical","No","GLQ",3,"Unf",0,281,814,"GasA","Excellent","Y","SBrkr",814,860,1674,1,0,2,1,3,1,7,"Typ",0,"Attchd","RFn",2,663,"Typical","Paved",0,96,0,0,0,0,"No_Pool","No_Fence","None",0,1,2010,"WD ","Normal",216000,-93.639366,42.049297,5.33445375115093,1072.03437118199,4787.97061606858,1719.71936283178,3556.78659862999,7291.09370936111,2270.30617336373,1182.49421429655,5355.00047735744
"24","One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",0,11241,"Pave","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","CulDSac","Gtl","North_Ames","Norm","Norm","OneFam","One_Story","Good",1970,1970,"Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace",180,"Typical","CBlock","Typical","No","ALQ",1,"Unf",0,426,1004,"GasA","Excellent","Y","SBrkr",1004,0,1004,1,0,1,0,2,1,5,"Typ",1,"Attchd","Fin",2,480,"Typical","Paved",0,0,0,0,0,0,"No_Pool","No_Fence","Shed",700,3,2010,"WD ","Normal",149000,-93.626231,42.055147,5.17318626841227,1844.65949529083,5955.49689827284,832.977484122361,4822.16423245144,7512.16346558654,1852.47740871361,1382.29414109068,6591.742976121
"25","One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",0,12537,"Pave","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","CulDSac","Gtl","North_Ames","Norm","Norm","OneFam","One_Story","Above_Average",1971,2008,"Gable","CompShg","VinylSd","VinylSd","None",0,"Typical","CBlock","Typical","No","GLQ",3,"Unf",0,344,1078,"GasA","Excellent","Y","SBrkr",1078,0,1078,1,0,1,1,3,1,6,"Typ",1,"Attchd","Fin",2,500,"Typical","Paved",0,0,0,0,0,0,"No_Pool","No_Fence","None",0,4,2010,"WD ","Normal",149900,-93.626537,42.054592,5.17580163284828,1777.96318291295,5891.5233940397,814.225363947493,4770.01542672318,7459.93325667241,1814.69619921981,1318.26036799351,6531.63797629305
"26","One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",65,8450,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","North_Ames","Norm","Norm","OneFam","One_Story","Above_Average",1968,1968,"Gable","CompShg","VinylSd","VinylSd","None",0,"Typical","CBlock","Typical","No","BLQ",2,"Unf",0,281,1056,"GasA","Excellent","Y","SBrkr",1056,0,1056,1,0,1,0,3,1,6,"Typ",1,"Attchd","Unf",1,304,"Typical","Paved",0,85,184,0,0,0,"No_Pool","No_Fence","None",0,7,2010,"WD ","Normal",142000,-93.628806,42.055227,5.15228834438306,1774.78889937255,5831.65592600564,1008.6447308038,4642.36949134306,7582.43617294645,1981.81758802975,1384.45948778685,6441.43235257017
"27","One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",70,8400,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Corner","Gtl","North_Ames","Norm","Norm","OneFam","One_Story","Average",1970,1970,"Gable","CompShg","Plywood","Plywood","None",0,"Typical","CBlock","Typical","No","ALQ",1,"Rec",78,0,882,"GasA","Typical","Y","SBrkr",882,0,882,1,0,1,0,2,1,4,"Typ",0,"Attchd","Fin",2,525,"Typical","Paved",240,0,0,0,0,0,"No_Pool","Minimum_Privacy","None",0,4,2010,"WD ","Normal",126000,-93.627112,42.053395,5.10037054511756,1637.11466058237,5758.22102131583,785.340233786408,4665.02855464374,7346.02266557129,1734.8285767647,1181.62116646958,6407.73616479513
"28","One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",70,10500,"Pave","No_Alley_Access","Regular","Lvl","AllPub","FR2","Gtl","North_Ames","Norm","Norm","OneFam","One_Story","Average",1971,1971,"Gable","CompShg","HdBoard","HdBoard","None",0,"Typical","CBlock","Typical","No","ALQ",1,"Unf",0,432,864,"GasA","Typical","Y","SBrkr",864,0,864,0,0,1,0,3,1,5,"Typ",1,"No_Garage","No_Garage",0,0,"No_Garage","Paved",0,0,0,0,0,0,"No_Pool","No_Fence","None",0,4,2010,"ConLI","Normal",115000,-93.622769,42.056375,5.06069784035361,2098.25975798818,6242.80383731125,763.095497469839,5138.62899426398,7570.62295976,1841.61384937009,1572.53887907162,6896.35346862803
"29","One_Story_PUD_1946_and_Newer","Residential_High_Density",26,5858,"Pave","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","FR2","Gtl","North_Ames","Norm","Norm","TwnhsE","One_Story","Average",1999,1999,"Gable","CompShg","MetalSd","MetalSd","None",0,"Typical","PConc","Typical","No","GLQ",3,"BLQ",0,354,1405,"GasA","Excellent","Y","SBrkr",1337,0,1337,1,0,2,0,2,1,5,"Typ",1,"Attchd","Fin",2,511,"Typical","Paved",203,68,0,0,0,0,"No_Pool","No_Fence","None",0,6,2010,"WD ","Normal",184000,-93.624373,42.055318,5.26481782300954,1930.61845701965,6067.48366718382,738.124048534545,4965.70090206152,7489.42634104397,1791.69546235961,1425.864467557,6719.0942336494
"30","Two_Story_PUD_1946_and_Newer","Residential_Medium_Density",21,1680,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Briardale","Norm","Norm","Twnhs","Two_Story","Average",1971,1971,"Gable","CompShg","HdBoard","HdBoard","BrkFace",504,"Typical","CBlock","Typical","No","Rec",6,"Unf",0,327,483,"GasA","Typical","Y","SBrkr",483,504,987,0,0,1,1,2,1,5,"Typ",0,"Detchd","Unf",1,264,"Typical","Paved",275,0,0,0,0,0,"No_Pool","No_Fence","None",0,2,2010,"COD","Normal",96000,-93.627271,42.051835,4.98227123303957,1475.73808632637,5616.63396094445,737.770745241198,4575.04652484479,7184.15106792327,1610.14387651091,1007.47665865621,6284.63045665557
"31","Two_Story_PUD_1946_and_Newer","Residential_Medium_Density",21,1680,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Briardale","Norm","Norm","Twnhs","Two_Story","Average",1971,1971,"Gable","CompShg","HdBoard","HdBoard","BrkFace",492,"Typical","CBlock","Typical","No","Rec",6,"Unf",0,225,525,"GasA","Typical","Y","SBrkr",525,567,1092,0,0,1,1,3,1,6,"Typ",0,"Detchd","Unf",1,320,"Typical","Paved",0,0,0,0,0,0,"No_Pool","No_Fence","None",0,3,2010,"WD ","Normal",105500,-93.627536,42.051684,5.02325245963371,1450.72933423528,5589.63391849388,755.354804262042,4548.00770160477,7174.78753206044,1612.5803292501,989.526909770307,6257.04787089272
"32","Two_Story_PUD_1946_and_Newer","Residential_Medium_Density",21,1680,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Briardale","Norm","Norm","Twnhs","Two_Story","Average",1971,1971,"Gable","CompShg","HdBoard","ImStucc","BrkFace",381,"Typical","CBlock","Typical","No","Unf",7,"Unf",0,525,525,"GasA","Typical","Y","SBrkr",525,567,1092,0,0,1,1,3,1,6,"Typ",0,"Detchd","Unf",1,264,"Typical","Paved",0,0,0,0,0,0,"No_Pool","No_Fence","None",0,3,2010,"WD ","Family",88000,-93.62728,42.051685,4.94448267215017,1460.6192179766,5603.45448134905,734.703872301883,4567.11945671936,7168.45947812037,1598.29121846626,990.765276063139,6273.3191170388
"33","One_Story_PUD_1946_and_Newer","Residential_Low_Density",53,4043,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Northpark_Villa","Norm","Norm","TwnhsE","One_Story","Average",1977,1977,"Gable","CompShg","Plywood","Plywood","None",0,"Typical","CBlock","Typical","No","ALQ",1,"Unf",0,709,1069,"GasA","Typical","Y","SBrkr",1069,0,1069,0,0,2,0,2,1,4,"Typ",1,"Attchd","RFn",2,440,"Typical","Paved",0,55,0,0,165,0,"No_Pool","No_Fence","None",0,7,2010,"WD ","Normal",127500,-93.627232,42.049672,5.10551018476997,1269.13524280799,5437.81768607066,716.345256311323,4478.26572177953,6953.98109479971,1438.06999542863,767.608690470754,6134.84829951307
